"lang"
{
"Language"	"vietnamese"
"announcer_ann_ti6_teamnamewin_26"	"Complexity chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_26"	"Complexity victory!"
"announcer_ann_ti6_teamnamewin_27"	"EHOME chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_27"	"EHOME victory!"
"announcer_ann_ti6_teamnamewin_28"	"Escape Gaming chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_28"	"Escape Gaming victory!"
"announcer_ann_ti6_teamnamewin_29"	"Execration chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_29"	"Execration victory!"
"announcer_ann_ti6_teamname_01"	"OG"
"[english]announcer_ann_ti6_teamname_01"	"OG"
"announcer_ann_ti6_teamname_02"	"Team Liquid"
"[english]announcer_ann_ti6_teamname_02"	"Team Liquid"
"announcer_ann_ti6_teamname_03"	"Liquid"
"[english]announcer_ann_ti6_teamname_03"	"Liquid"
"announcer_ann_ti6_teamname_04"	"NewBee"
"[english]announcer_ann_ti6_teamname_04"	"NewBee"
"announcer_ann_ti6_teamname_05"	"LGD Gaming"
"[english]announcer_ann_ti6_teamname_05"	"LGD Gaming"
"announcer_ann_ti6_teamname_06"	"LGD"
"[english]announcer_ann_ti6_teamname_06"	"LGD"
"announcer_ann_ti6_teamname_07"	"MVP Phoenix"
"[english]announcer_ann_ti6_teamname_07"	"MVP Phoenix"
"announcer_ann_ti6_teamname_08"	"MVP"
"[english]announcer_ann_ti6_teamname_08"	"MVP"
"announcer_ann_ti6_teamname_09"	"Na'Vi"
"[english]announcer_ann_ti6_teamname_09"	"Na'Vi"
"announcer_ann_ti6_teamname_10"	"Natus Vincere"
"[english]announcer_ann_ti6_teamname_10"	"Natus Vincere"
"announcer_ann_ti6_teamname_11"	"Team Secret"
"[english]announcer_ann_ti6_teamname_11"	"Team Secret"
"announcer_ann_ti6_teamname_12"	"Secret"
"[english]announcer_ann_ti6_teamname_12"	"Secret"
"announcer_ann_ti6_teamname_13"	"Alliance"
"[english]announcer_ann_ti6_teamname_13"	"Alliance"
"announcer_ann_ti6_teamname_14"	"Wings Gaming"
"[english]announcer_ann_ti6_teamname_14"	"Wings Gaming"
"announcer_ann_ti6_teamname_15"	"Wings"
"[english]announcer_ann_ti6_teamname_15"	"Wings"
"announcer_ann_ti6_teamname_16"	"Vici Gaming Reborn"
"[english]announcer_ann_ti6_teamname_16"	"Vici Gaming Reborn"
"announcer_ann_ti6_teamname_17"	"VGR"
"[english]announcer_ann_ti6_teamname_17"	"VGR"
"announcer_ann_ti6_teamname_18"	"TNC Pro Team"
"[english]announcer_ann_ti6_teamname_18"	"TNC Pro Team"
"announcer_ann_ti6_teamname_19"	"TNC"
"[english]announcer_ann_ti6_teamname_19"	"TNC"
"announcer_ann_ti6_teamname_20"	"Fnatic"
"[english]announcer_ann_ti6_teamname_20"	"Fnatic"
"announcer_ann_ti6_teamname_21"	"Evil Geniuses"
"[english]announcer_ann_ti6_teamname_21"	"Evil Geniuses"
"announcer_ann_ti6_teamname_22"	"EG"
"[english]announcer_ann_ti6_teamname_22"	"EG"
"announcer_ann_ti6_teamname_23"	"Digital Chaos"
"[english]announcer_ann_ti6_teamname_23"	"Digital Chaos"
"announcer_ann_ti6_teamname_24"	"DC"
"[english]announcer_ann_ti6_teamname_24"	"DC"
"announcer_ann_ti6_teamname_25"	"Complexity Gaming"
"[english]announcer_ann_ti6_teamname_25"	"Complexity Gaming"
"announcer_ann_ti6_teamname_26"	"Complexity"
"[english]announcer_ann_ti6_teamname_26"	"Complexity"
"announcer_ann_ti6_teamname_27"	"EHOME"
"[english]announcer_ann_ti6_teamname_27"	"EHOME"
"announcer_ann_ti6_teamname_28"	"Escape Gaming"
"[english]announcer_ann_ti6_teamname_28"	"Escape Gaming"
"announcer_ann_ti6_teamname_29"	"Execration"
"[english]announcer_ann_ti6_teamname_29"	"Execration"
"announcer_ann_battlecup_wel_01"	"Chào mừng đến với giải Battle Cup."
"[english]announcer_ann_battlecup_wel_01"	"Welcome to the Battle Cup."
"announcer_ann_battlecup_wel_02"	"Cuộc tranh tài giành Battle Cup bắt đầu."
"[english]announcer_ann_battlecup_wel_02"	"The struggle for the Battle Cup begins."
"announcer_ann_battlecup_wel_03"	"Tám đội tham dự, một đội đăng quang."
"[english]announcer_ann_battlecup_wel_03"	"Eight teams enter, one team leaves."
"announcer_ann_battlecup_wel_04"	"Battle Cup khởi tranh."
"[english]announcer_ann_battlecup_wel_04"	"The Battle Cup Commences."
"announcer_ann_battlecup_wel_05"	"Cuộc chiến giành cúp bắt đầu."
"[english]announcer_ann_battlecup_wel_05"	"The battle for the Cup begins."
"announcer_ann_battlecup_champ_01"	"Radiant là nhà vô địch Battle Cup"
"[english]announcer_ann_battlecup_champ_01"	"Radiant are Battle Cup Champions"
"announcer_ann_battlecup_champ_02"	"Dire là nhà vô địch Battle Cup"
"[english]announcer_ann_battlecup_champ_02"	"Dire are Battle Cup Champions"
"announcer_ann_battlecup_champ_03"	"Bạn đã đoạt được Battle Cup"
"[english]announcer_ann_battlecup_champ_03"	"You have claimed the Battle Cup"
"announcer_ann_battlecup_lose_01"	"Bạn đã bị loại khỏi Battle Cup"
"[english]announcer_ann_battlecup_lose_01"	"You have been eliminated from the Battle Cup"
"announcer_ann_battlecup_win_01"	"Chuẩn bị cho vòng kế tiếp của Battle Cup"
"[english]announcer_ann_battlecup_win_01"	"Prepare for the next round of the Battle Cup"
"announcer_ann_battlecup_defend_01"	"Các nhà đương kim vô địch chiến đấu để giữ chiếc cúp."
"[english]announcer_ann_battlecup_defend_01"	"The defending champions fight to keep the Cup."
"announcer_ann_battlecup_defend_02"	"Các nhà đương kim vô địch Battle Cup chiến đấu để bảo vệ danh hiệu."
"[english]announcer_ann_battlecup_defend_02"	"The defending Battle Cup Champions fight to defend the title."
"announcer_ann_battlecup_defend_03"	"Chuẩn bị đối mặt với đương kim vô địch Battle Cup."
"[english]announcer_ann_battlecup_defend_03"	"Prepare to face the defending Battle Cup Champions."
"announcer_ann_battlecup_stage_01"	"Tứ kết Battle Cup bắt đầu"
"[english]announcer_ann_battlecup_stage_01"	"The Battle Cup Quarter Finals Begin"
"announcer_ann_battlecup_stage_02"	"Bán kết Battle Cup bắt đầu"
"[english]announcer_ann_battlecup_stage_02"	"The Battle Cup Semi Finals Begin"
"announcer_ann_battlecup_stage_03"	"Chung kết Battle Cup bắt đầu"
"[english]announcer_ann_battlecup_stage_03"	"The Battle Cup Finals Begin"
"announcer_ann_battlecup_stage_04"	"Đội thắng tứ kết"
"[english]announcer_ann_battlecup_stage_04"	"Quarter Finals Winner"
"announcer_ann_battlecup_stage_05"	"Đội thắng bán kết"
"[english]announcer_ann_battlecup_stage_05"	"Semi Finals Winner"
"announcer_ann_battlecup_stage_06"	"Đội vô địch Battle Cup"
"[english]announcer_ann_battlecup_stage_06"	"Battle Cup Champions"
"announcer_ann_pgshowcase_rad_01"	"Radiant"
"[english]announcer_ann_pgshowcase_rad_01"	"Radiant"
"announcer_ann_pgshowcase_rad_02"	"Radiant"
"[english]announcer_ann_pgshowcase_rad_02"	"The Radiant"
"announcer_ann_pgshowcase_rad_03"	"Phe Radiant"
"[english]announcer_ann_pgshowcase_rad_03"	"Team Radiant"
"announcer_ann_pgshowcase_dire_01"	"Dire"
"[english]announcer_ann_pgshowcase_dire_01"	"Dire"
"announcer_ann_pgshowcase_dire_02"	"Dire"
"[english]announcer_ann_pgshowcase_dire_02"	"The Dire"
"announcer_ann_pgshowcase_dire_03"	"Phe Dire"
"[english]announcer_ann_pgshowcase_dire_03"	"Team Dire"
"announcer_announcer_shrine_attack_dire_bot"	"Giếng đường dưới của Dire đang bị tấn công."
"[english]announcer_announcer_shrine_attack_dire_bot"	"Dire's bottom shrine is under attack."
"announcer_announcer_shrine_attack_dire_top"	"Giếng đường trên của Dire đang bị tấn công."
"[english]announcer_announcer_shrine_attack_dire_top"	"Dire's top shrine is under attack."
"announcer_announcer_shrine_attack_rad_bot"	"Giếng đường dưới của Radiant đang bị tấn công."
"[english]announcer_announcer_shrine_attack_rad_bot"	"Radiant's bottom shrine is under attack."
"announcer_announcer_shrine_attack_rad_top"	"Giếng đường trên của Radiant đang bị tấn công."
"[english]announcer_announcer_shrine_attack_rad_top"	"Radiant's top shrine is under attack."
"announcer_announcer_shrine_attack_yr_bot"	"Giếng đường dưới của bạn đang bị tấn công."
"[english]announcer_announcer_shrine_attack_yr_bot"	"Your bottom shrine is under attack."
"announcer_announcer_shrine_attack_yr_top"	"Giếng đường trên của bạn đang bị tấn công."
"[english]announcer_announcer_shrine_attack_yr_top"	"Your top shrine is under attack."
"announcer_announcer_shrine_fall_dire_bot"	"Giếng đường dưới của phe Dire đã thất thủ."
"[english]announcer_announcer_shrine_fall_dire_bot"	"Dire's bottom shrine has fallen."
"announcer_announcer_shrine_fall_dire_top"	"Giếng đường trên của phe Dire đã thất thủ."
"[english]announcer_announcer_shrine_fall_dire_top"	"Dire's top shrine has fallen."
"announcer_announcer_shrine_fall_rad_bot"	"Giếng đường dưới của phe Radiant đã thất thủ."
"[english]announcer_announcer_shrine_fall_rad_bot"	"Radiant's bottom shrine has fallen."
"announcer_announcer_shrine_fall_rad_top"	"Giếng đường trên của phe Radiant đã thất thủ."
"[english]announcer_announcer_shrine_fall_rad_top"	"Radiant's top shrine has fallen."
"announcer_announcer_shrine_fall_enm_bot"	"Giếng đường dưới của kẻ địch đã thất thủ."
"[english]announcer_announcer_shrine_fall_enm_bot"	"The enemy's bottom shrine has fallen."
"announcer_announcer_shrine_fall_enm_top"	"Giếng đường trên của kẻ địch đã thất thủ."
"[english]announcer_announcer_shrine_fall_enm_top"	"The enemy's top shrine has fallen."
"announcer_announcer_shrine_fall_yr_bot"	"Giếng đường dưới của bạn đã thất thủ."
"[english]announcer_announcer_shrine_fall_yr_bot"	"Your bottom shrine has fallen."
"announcer_announcer_shrine_fall_yr_top"	"Giếng đường trên của bạn đã thất thủ."
"[english]announcer_announcer_shrine_fall_yr_top"	"Your top shrine has fallen."
"announcer_ti7_ann_team_ban_01"	"Đến lượt cấm của OG."
"[english]announcer_ti7_ann_team_ban_01"	"OG's turn to ban."
"announcer_ti7_ann_team_ban_02"	"Đến lượt cấm của Virtus Pro."
"[english]announcer_ti7_ann_team_ban_02"	"Virtus Pro's turn to ban."
"announcer_ti7_ann_team_ban_03"	"Đến lượt cấm của VP."
"[english]announcer_ti7_ann_team_ban_03"	"VP's turn to ban."
"announcer_ti7_ann_team_ban_04"	"Đến lượt cấm của Evil Geniuses."
"[english]announcer_ti7_ann_team_ban_04"	"Evil Geniuses' turn to ban."
"announcer_ti7_ann_team_ban_05"	"Đến lượt cấm của EG."
"[english]announcer_ti7_ann_team_ban_05"	"EG's turn to ban."
"announcer_ti7_ann_team_ban_06"	"Đến lượt cấm của Team Liquid."
"[english]announcer_ti7_ann_team_ban_06"	"Team Liquid's turn to ban."
"announcer_ti7_ann_team_ban_07"	"Đến lượt cấm của Invictus Gaming."
"[english]announcer_ti7_ann_team_ban_07"	"Invictus Gaming's turn to ban."
"announcer_ti7_ann_team_ban_08"	"Đến lượt cấm của IG."
"[english]announcer_ti7_ann_team_ban_08"	"IG's turn to ban."
"announcer_ti7_ann_team_ban_09"	"Đến lượt cấm của Newbee."
"[english]announcer_ti7_ann_team_ban_09"	"Newbee's turn to ban."
"announcer_ti7_ann_team_ban_10"	"Đến lượt cấm của Team Secret."
"[english]announcer_ti7_ann_team_ban_10"	"Team Secret's turn to ban."
"announcer_ti7_ann_team_ban_11"	"Đến lượt cấm của HellRaisers."
"[english]announcer_ti7_ann_team_ban_11"	"HellRaisers' turn to ban."
"announcer_ti7_ann_team_ban_12"	"Đến lượt cấm của Team Empire."
"[english]announcer_ti7_ann_team_ban_12"	"Team Empire's turn to ban."
"announcer_ti7_ann_team_ban_13"	"Đến lượt cấm của iG Vitality."
"[english]announcer_ti7_ann_team_ban_13"	"iG Vitality's turn to ban."
"announcer_ti7_ann_team_ban_14"	"Đến lượt cấm của iG.V."
"[english]announcer_ti7_ann_team_ban_14"	"iG.V's turn to ban."
"announcer_ti7_ann_team_ban_15"	"Đến lượt cấm của LGD Forever Young."
"[english]announcer_ti7_ann_team_ban_15"	"LGD Forever Young's turn to ban."
"announcer_ti7_ann_team_ban_16"	"Đến lượt cấm của LFY."
"[english]announcer_ti7_ann_team_ban_16"	"LFY's turn to ban."
"announcer_ti7_ann_team_ban_17"	"Đến lượt cấm của LGD Gaming."
"[english]announcer_ti7_ann_team_ban_17"	"LGD Gaming's turn to ban."
"announcer_ti7_ann_team_ban_18"	"Đến lượt cấm của LGD."
"[english]announcer_ti7_ann_team_ban_18"	"LGD's turn to ban."
"announcer_ti7_ann_team_ban_20"	"Đến lượt cấm của TNC."
"[english]announcer_ti7_ann_team_ban_20"	"TNC's turn to ban."
"announcer_ti7_ann_team_ban_21"	"Đến lượt cấm của Fnatic."
"[english]announcer_ti7_ann_team_ban_21"	"Fnatic's turn to ban."
"announcer_ti7_ann_team_ban_22"	"Đến lượt cấm của Execration."
"[english]announcer_ti7_ann_team_ban_22"	"Execration's turn to ban."
"announcer_ti7_ann_team_ban_23"	"Đến lượt cấm của Cloud9."
"[english]announcer_ti7_ann_team_ban_23"	"Cloud9's turn to ban."
"announcer_ti7_ann_team_ban_25"	"Đến lượt cấm của Digital Chaos."
"[english]announcer_ti7_ann_team_ban_25"	"Digital Chaos' turn to ban."
"announcer_ti7_ann_team_ban_26"	"Đến lượt cấm của DC."
"[english]announcer_ti7_ann_team_ban_26"	"DC's turn to ban."
"announcer_ti7_ann_team_ban_27"	"Đến lượt cấm của Infamous."
"[english]announcer_ti7_ann_team_ban_27"	"Infamous' turn to ban."
"announcer_ti7_ann_team_pick_01"	"Đến lượt chọn của OG."
"[english]announcer_ti7_ann_team_pick_01"	"OG's turn to pick."
"announcer_ti7_ann_team_pick_02"	"Đến lượt chọn của Virtus Pro."
"[english]announcer_ti7_ann_team_pick_02"	"Virtus Pro's turn to pick."
"announcer_ti7_ann_team_pick_03"	"Đến lượt chọn của VP."
"[english]announcer_ti7_ann_team_pick_03"	"VP's turn to pick."
"announcer_ti7_ann_team_pick_04"	"Đến lượt chọn của Evil Geniuses."
"[english]announcer_ti7_ann_team_pick_04"	"Evil Geniuses' turn to pick."
"announcer_ti7_ann_team_pick_05"	"Đến lượt chọn của EG."
"[english]announcer_ti7_ann_team_pick_05"	"EG's turn to pick."
"announcer_ti7_ann_team_pick_06"	"Đến lượt chọn của Team Liquid."
"[english]announcer_ti7_ann_team_pick_06"	"Team Liquid's turn to pick."
"announcer_ti7_ann_team_pick_07"	"Đến lượt chọn của Invictus Gaming."
"[english]announcer_ti7_ann_team_pick_07"	"Invictus Gaming's turn to pick."
"announcer_ti7_ann_team_pick_08"	"Đến lượt chọn của IG."
"[english]announcer_ti7_ann_team_pick_08"	"IG's turn to pick."
"announcer_ti7_ann_team_pick_09"	"Đến lượt chọn của Newbee."
"[english]announcer_ti7_ann_team_pick_09"	"Newbee's turn to pick."
"announcer_ti7_ann_team_pick_10"	"Đến lượt chọn của Team Secret."
"[english]announcer_ti7_ann_team_pick_10"	"Team Secret's turn to pick."
"announcer_ti7_ann_team_pick_11"	"Đến lượt chọn của HellRaisers."
"[english]announcer_ti7_ann_team_pick_11"	"HellRaisers' turn to pick."
"announcer_ti7_ann_team_pick_12"	"Đến lượt chọn của Team Empire."
"[english]announcer_ti7_ann_team_pick_12"	"Team Empire's turn to pick."
"announcer_ti7_ann_team_pick_13"	"Đến lượt chọn của iG Vitality."
"[english]announcer_ti7_ann_team_pick_13"	"iG Vitality's turn to pick."
"announcer_ti7_ann_team_pick_14"	"Đến lượt chọn của iG.V."
"[english]announcer_ti7_ann_team_pick_14"	"iG.V's turn to pick."
"announcer_ti7_ann_team_pick_15"	"Đến lượt chọn của LGD Forever Young."
"[english]announcer_ti7_ann_team_pick_15"	"LGD Forever Young's turn to pick."
"announcer_ti7_ann_team_pick_16"	"Đến lượt chọn của LFY."
"[english]announcer_ti7_ann_team_pick_16"	"LFY's turn to pick."
"announcer_ti7_ann_team_pick_17"	"Đến lượt chọn của LGD Gaming."
"[english]announcer_ti7_ann_team_pick_17"	"LGD Gaming's turn to pick."
"announcer_ti7_ann_team_pick_18"	"Đến lượt chọn của LGD."
"[english]announcer_ti7_ann_team_pick_18"	"LGD's turn to pick."
"announcer_ti7_ann_team_pick_20"	"Đến lượt chọn của TNC."
"[english]announcer_ti7_ann_team_pick_20"	"TNC's turn to pick."
"announcer_ti7_ann_team_pick_21"	"Đến lượt chọn của Fnatic."
"[english]announcer_ti7_ann_team_pick_21"	"Fnatic's turn to pick."
"announcer_ti7_ann_team_pick_22"	"Đến lượt chọn của Execration."
"[english]announcer_ti7_ann_team_pick_22"	"Execration's turn to pick."
"announcer_ti7_ann_team_pick_23"	"Đến lượt chọn của Cloud9."
"[english]announcer_ti7_ann_team_pick_23"	"Cloud9's turn to pick."
"announcer_ti7_ann_team_pick_25"	"Đến lượt chọn của Digital Chaos."
"[english]announcer_ti7_ann_team_pick_25"	"Digital Chaos' turn to pick."
"announcer_ti7_ann_team_pick_26"	"Đến lượt chọn của DC."
"[english]announcer_ti7_ann_team_pick_26"	"DC's turn to pick."
