"lang"
{
"Language"	"finnish"
"[english]announcer_ann_ti6_teamname_11"	"Team Secret"
"announcer_ann_ti6_teamname_12"	"Secret"
"[english]announcer_ann_ti6_teamname_12"	"Secret"
"announcer_ann_ti6_teamname_13"	"Alliance"
"[english]announcer_ann_ti6_teamname_13"	"Alliance"
"announcer_ann_ti6_teamname_14"	"Wings Gaming"
"[english]announcer_ann_ti6_teamname_14"	"Wings Gaming"
"announcer_ann_ti6_teamname_15"	"Wings"
"[english]announcer_ann_ti6_teamname_15"	"Wings"
"announcer_ann_ti6_teamname_16"	"Vici Gaming Reborn"
"[english]announcer_ann_ti6_teamname_16"	"Vici Gaming Reborn"
"announcer_ann_ti6_teamname_17"	"VGR"
"[english]announcer_ann_ti6_teamname_17"	"VGR"
"announcer_ann_ti6_teamname_18"	"TNC Pro Team"
"[english]announcer_ann_ti6_teamname_18"	"TNC Pro Team"
"announcer_ann_ti6_teamname_19"	"TNC"
"[english]announcer_ann_ti6_teamname_19"	"TNC"
"announcer_ann_ti6_teamname_20"	"Fnatic"
"[english]announcer_ann_ti6_teamname_20"	"Fnatic"
"announcer_ann_ti6_teamname_21"	"Evil Geniuses"
"[english]announcer_ann_ti6_teamname_21"	"Evil Geniuses"
"announcer_ann_ti6_teamname_22"	"EG"
"[english]announcer_ann_ti6_teamname_22"	"EG"
"announcer_ann_ti6_teamname_23"	"Digital Chaos"
"[english]announcer_ann_ti6_teamname_23"	"Digital Chaos"
"announcer_ann_ti6_teamname_24"	"DC"
"[english]announcer_ann_ti6_teamname_24"	"DC"
"announcer_ann_ti6_teamname_25"	"Complexity Gaming"
"[english]announcer_ann_ti6_teamname_25"	"Complexity Gaming"
"announcer_ann_ti6_teamname_26"	"Complexity"
"[english]announcer_ann_ti6_teamname_26"	"Complexity"
"announcer_ann_ti6_teamname_27"	"EHOME"
"[english]announcer_ann_ti6_teamname_27"	"EHOME"
"announcer_ann_ti6_teamname_28"	"Escape Gaming"
"[english]announcer_ann_ti6_teamname_28"	"Escape Gaming"
"announcer_ann_ti6_teamname_29"	"Execration"
"[english]announcer_ann_ti6_teamname_29"	"Execration"
"announcer_ann_battlecup_wel_01"	"Tervetuloa Viikonloppuliigaan."
"[english]announcer_ann_battlecup_wel_01"	"Welcome to the Battle Cup."
"announcer_ann_battlecup_wel_02"	"Viikonloppuliigan kamppailu alkaa."
"[english]announcer_ann_battlecup_wel_02"	"The struggle for the Battle Cup begins."
"announcer_ann_battlecup_wel_03"	"Kahdeksan joukkuetta ottelee, vain yksi joukkue voittaa."
"[english]announcer_ann_battlecup_wel_03"	"Eight teams enter, one team leaves."
"announcer_ann_battlecup_wel_04"	"Viikonloppuliiga alkakoon."
"[english]announcer_ann_battlecup_wel_04"	"The Battle Cup Commences."
"announcer_ann_battlecup_wel_05"	"Viikonlopun huikein liiga."
"[english]announcer_ann_battlecup_wel_05"	"The battle for the Cup begins."
"announcer_ann_battlecup_champ_01"	"Radiant on Battle Cup -mestari"
"[english]announcer_ann_battlecup_champ_01"	"Radiant are Battle Cup Champions"
"announcer_ann_battlecup_champ_02"	"Dire on Battle Cup -mestari"
"[english]announcer_ann_battlecup_champ_02"	"Dire are Battle Cup Champions"
"announcer_ann_battlecup_champ_03"	"Lunastit viikonloppuliigan voiton"
"[english]announcer_ann_battlecup_champ_03"	"You have claimed the Battle Cup"
"announcer_ann_battlecup_lose_01"	"Sinut eliminoitiin viikonloppuliigasta"
"[english]announcer_ann_battlecup_lose_01"	"You have been eliminated from the Battle Cup"
"announcer_ann_battlecup_win_01"	"Valmistaudu seuraavaan viikonloppuliigan kierrokseen"
"[english]announcer_ann_battlecup_win_01"	"Prepare for the next round of the Battle Cup"
"announcer_ann_battlecup_defend_01"	"Puolustavat mestarit taistelevat liigavoitosta."
"[english]announcer_ann_battlecup_defend_01"	"The defending champions fight to keep the Cup."
"announcer_ann_battlecup_defend_02"	"Puolustavat viikonloppuliigan mestarit taistelevat pitääkseen tittelinsä."
"[english]announcer_ann_battlecup_defend_02"	"The defending Battle Cup Champions fight to defend the title."
"announcer_ann_battlecup_defend_03"	"Valmistaudu kohtaamaan viikonloppuliigan mestarit."
"[english]announcer_ann_battlecup_defend_03"	"Prepare to face the defending Battle Cup Champions."
"announcer_ann_battlecup_stage_01"	"Viikonloppuliigan puolivälierät alkavat"
"[english]announcer_ann_battlecup_stage_01"	"The Battle Cup Quarter Finals Begin"
"announcer_ann_battlecup_stage_02"	"Viikonloppuliigan välierät alkavat"
"[english]announcer_ann_battlecup_stage_02"	"The Battle Cup Semi Finals Begin"
"announcer_ann_battlecup_stage_03"	"Viikonloppuliigan finaali alkaa"
"[english]announcer_ann_battlecup_stage_03"	"The Battle Cup Finals Begin"
"announcer_ann_battlecup_stage_04"	"Puolivälierän voittaja"
"[english]announcer_ann_battlecup_stage_04"	"Quarter Finals Winner"
"announcer_ann_battlecup_stage_05"	"Välierän voittaja"
"[english]announcer_ann_battlecup_stage_05"	"Semi Finals Winner"
"announcer_ann_battlecup_stage_06"	"Viikonloppuliigan mestarit"
"[english]announcer_ann_battlecup_stage_06"	"Battle Cup Champions"
"announcer_ann_pgshowcase_rad_01"	"Radiant"
"[english]announcer_ann_pgshowcase_rad_01"	"Radiant"
"announcer_ann_pgshowcase_rad_02"	"The Radiant"
"[english]announcer_ann_pgshowcase_rad_02"	"The Radiant"
"announcer_ann_pgshowcase_rad_03"	"Team Radiant"
"[english]announcer_ann_pgshowcase_rad_03"	"Team Radiant"
"announcer_ann_pgshowcase_dire_01"	"Dire"
"[english]announcer_ann_pgshowcase_dire_01"	"Dire"
"announcer_ann_pgshowcase_dire_02"	"Dire"
"[english]announcer_ann_pgshowcase_dire_02"	"The Dire"
"announcer_ann_pgshowcase_dire_03"	"Team Dire"
"[english]announcer_ann_pgshowcase_dire_03"	"Team Dire"
"announcer_announcer_shrine_attack_dire_bot"	"Diren alimmainen alttari on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_dire_bot"	"Dire's bottom shrine is under attack."
"announcer_announcer_shrine_attack_dire_top"	"Diren ylimmäinen alttari on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_dire_top"	"Dire's top shrine is under attack."
"announcer_announcer_shrine_attack_rad_bot"	"Radiantin alimmainen alttari on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_rad_bot"	"Radiant's bottom shrine is under attack."
"announcer_announcer_shrine_attack_rad_top"	"Radiantin ylimmäinen alttari on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_rad_top"	"Radiant's top shrine is under attack."
"announcer_announcer_shrine_attack_yr_bot"	"Alimmainen alttarinne on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_yr_bot"	"Your bottom shrine is under attack."
"announcer_announcer_shrine_attack_yr_top"	"Ylimmäinen alttarinne on hyökkäyksen kohteena."
"[english]announcer_announcer_shrine_attack_yr_top"	"Your top shrine is under attack."
"announcer_announcer_shrine_fall_dire_bot"	"Diren alimmainen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_dire_bot"	"Dire's bottom shrine has fallen."
"announcer_announcer_shrine_fall_dire_top"	"Diren ylimmäinen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_dire_top"	"Dire's top shrine has fallen."
"announcer_announcer_shrine_fall_rad_bot"	"Radiantin alimmainen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_rad_bot"	"Radiant's bottom shrine has fallen."
"announcer_announcer_shrine_fall_rad_top"	"Radiantin ylimmäinen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_rad_top"	"Radiant's top shrine has fallen."
"announcer_announcer_shrine_fall_enm_bot"	"Vihollisen alimmainen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_enm_bot"	"The enemy's bottom shrine has fallen."
"announcer_announcer_shrine_fall_enm_top"	"Vihollisen ylimmäinen alttari on kaatunut."
"[english]announcer_announcer_shrine_fall_enm_top"	"The enemy's top shrine has fallen."
"announcer_announcer_shrine_fall_yr_bot"	"Alimmainen alttarinne on kaatunut."
"[english]announcer_announcer_shrine_fall_yr_bot"	"Your bottom shrine has fallen."
"announcer_announcer_shrine_fall_yr_top"	"Ylimmäinen alttarinne on kaatunut."
"[english]announcer_announcer_shrine_fall_yr_top"	"Your top shrine has fallen."
"announcer_ti7_ann_team_ban_01"	"OG:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_01"	"OG's turn to ban."
"announcer_ti7_ann_team_ban_02"	"Virtus Pron kieltovuoro."
"[english]announcer_ti7_ann_team_ban_02"	"Virtus Pro's turn to ban."
"announcer_ti7_ann_team_ban_03"	"VP:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_03"	"VP's turn to ban."
"announcer_ti7_ann_team_ban_04"	"Evil Geniusesin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_04"	"Evil Geniuses' turn to ban."
"announcer_ti7_ann_team_ban_05"	"EG:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_05"	"EG's turn to ban."
"announcer_ti7_ann_team_ban_06"	"Team Liquidin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_06"	"Team Liquid's turn to ban."
"announcer_ti7_ann_team_ban_07"	"Invictus Gamingin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_07"	"Invictus Gaming's turn to ban."
"announcer_ti7_ann_team_ban_08"	"IG:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_08"	"IG's turn to ban."
"announcer_ti7_ann_team_ban_09"	"Newbeen kieltovuoro."
"[english]announcer_ti7_ann_team_ban_09"	"Newbee's turn to ban."
"announcer_ti7_ann_team_ban_10"	"Team Secretin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_10"	"Team Secret's turn to ban."
"announcer_ti7_ann_team_ban_11"	"HellRaisersin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_11"	"HellRaisers' turn to ban."
"announcer_ti7_ann_team_ban_12"	"Team Empiren kieltovuoro."
"[english]announcer_ti7_ann_team_ban_12"	"Team Empire's turn to ban."
"announcer_ti7_ann_team_ban_13"	"iG Vitalityn kieltovuoro."
"[english]announcer_ti7_ann_team_ban_13"	"iG Vitality's turn to ban."
"announcer_ti7_ann_team_ban_14"	"iG.V:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_14"	"iG.V's turn to ban."
"announcer_ti7_ann_team_ban_15"	"LGD Forever Youngin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_15"	"LGD Forever Young's turn to ban."
"announcer_ti7_ann_team_ban_16"	"LFY:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_16"	"LFY's turn to ban."
"announcer_ti7_ann_team_ban_17"	"LGD Gamingin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_17"	"LGD Gaming's turn to ban."
"announcer_ti7_ann_team_ban_18"	"LGD:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_18"	"LGD's turn to ban."
"announcer_ti7_ann_team_ban_20"	"TNC:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_20"	"TNC's turn to ban."
"announcer_ti7_ann_team_ban_21"	"Fnaticin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_21"	"Fnatic's turn to ban."
"announcer_ti7_ann_team_ban_22"	"Execrationin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_22"	"Execration's turn to ban."
"announcer_ti7_ann_team_ban_23"	"Cloud9:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_23"	"Cloud9's turn to ban."
"announcer_ti7_ann_team_ban_25"	"Digital Chaosin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_25"	"Digital Chaos' turn to ban."
"announcer_ti7_ann_team_ban_26"	"DC:n kieltovuoro."
"[english]announcer_ti7_ann_team_ban_26"	"DC's turn to ban."
"announcer_ti7_ann_team_ban_27"	"Infamousin kieltovuoro."
"[english]announcer_ti7_ann_team_ban_27"	"Infamous' turn to ban."
"announcer_ti7_ann_team_pick_01"	"OGn vuoro valita."
"[english]announcer_ti7_ann_team_pick_01"	"OG's turn to pick."
"announcer_ti7_ann_team_pick_02"	"Virtus Pron vuoro valita."
"[english]announcer_ti7_ann_team_pick_02"	"Virtus Pro's turn to pick."
"announcer_ti7_ann_team_pick_03"	"VPn vuoro valita."
"[english]announcer_ti7_ann_team_pick_03"	"VP's turn to pick."
"announcer_ti7_ann_team_pick_04"	"Evil Geniusesin vuoro valita."
"[english]announcer_ti7_ann_team_pick_04"	"Evil Geniuses' turn to pick."
"announcer_ti7_ann_team_pick_05"	"EGn vuoro valita."
"[english]announcer_ti7_ann_team_pick_05"	"EG's turn to pick."
"announcer_ti7_ann_team_pick_06"	"Team Liquidin vuoro valita."
"[english]announcer_ti7_ann_team_pick_06"	"Team Liquid's turn to pick."
"announcer_ti7_ann_team_pick_07"	"Invictus Gamingin vuoro valita."
"[english]announcer_ti7_ann_team_pick_07"	"Invictus Gaming's turn to pick."
"announcer_ti7_ann_team_pick_08"	"IGn vuoro valita."
"[english]announcer_ti7_ann_team_pick_08"	"IG's turn to pick."
"announcer_ti7_ann_team_pick_09"	"Newbeen vuoro valita."
"[english]announcer_ti7_ann_team_pick_09"	"Newbee's turn to pick."
"announcer_ti7_ann_team_pick_10"	"Team Secretin vuoro valita."
"[english]announcer_ti7_ann_team_pick_10"	"Team Secret's turn to pick."
"announcer_ti7_ann_team_pick_11"	"HellRaisersin vuoro valita."
"[english]announcer_ti7_ann_team_pick_11"	"HellRaisers' turn to pick."
"announcer_ti7_ann_team_pick_12"	"Team Empiren vuoro valita."
"[english]announcer_ti7_ann_team_pick_12"	"Team Empire's turn to pick."
"announcer_ti7_ann_team_pick_13"	"iG Vitalityn vuoro valita."
"[english]announcer_ti7_ann_team_pick_13"	"iG Vitality's turn to pick."
"announcer_ti7_ann_team_pick_14"	"iG.V:n vuoro valita."
"[english]announcer_ti7_ann_team_pick_14"	"iG.V's turn to pick."
"announcer_ti7_ann_team_pick_15"	"LGD Forever Youngin vuoro valita."
"[english]announcer_ti7_ann_team_pick_15"	"LGD Forever Young's turn to pick."
"announcer_ti7_ann_team_pick_16"	"LFYn vuoro valita."
"[english]announcer_ti7_ann_team_pick_16"	"LFY's turn to pick."
"announcer_ti7_ann_team_pick_17"	"LGD Gamingin vuoro valita."
"[english]announcer_ti7_ann_team_pick_17"	"LGD Gaming's turn to pick."
"announcer_ti7_ann_team_pick_18"	"LGDn vuoro valita."
"[english]announcer_ti7_ann_team_pick_18"	"LGD's turn to pick."
"announcer_ti7_ann_team_pick_20"	"TNCn vuoro valita."
"[english]announcer_ti7_ann_team_pick_20"	"TNC's turn to pick."
"announcer_ti7_ann_team_pick_21"	"Fnaticin vuoro valita."
"[english]announcer_ti7_ann_team_pick_21"	"Fnatic's turn to pick."
"announcer_ti7_ann_team_pick_22"	"Execrationin vuoro valita."
"[english]announcer_ti7_ann_team_pick_22"	"Execration's turn to pick."
"announcer_ti7_ann_team_pick_23"	"Cloud9:n vuoro valita."
"[english]announcer_ti7_ann_team_pick_23"	"Cloud9's turn to pick."
"announcer_ti7_ann_team_pick_25"	"Digital Chaosin vuoro valita."
"[english]announcer_ti7_ann_team_pick_25"	"Digital Chaos' turn to pick."
"announcer_ti7_ann_team_pick_26"	"DCn vuoro valita."
"[english]announcer_ti7_ann_team_pick_26"	"DC's turn to pick."
"announcer_ti7_ann_team_pick_27"	"Infamousin vuoro valita."
"[english]announcer_ti7_ann_team_pick_27"	"Infamous' turn to pick."
"announcer_ti7_ann_team_victory_01"	"OG voittaa!"
"[english]announcer_ti7_ann_team_victory_01"	"OG victory!"
"announcer_ti7_ann_team_victory_02"	"Virtus Pro voittaa!"
"[english]announcer_ti7_ann_team_victory_02"	"Virtus Pro victory!"
"announcer_ti7_ann_team_victory_03"	"Evil Geniuses voittaa!"
"[english]announcer_ti7_ann_team_victory_03"	"Evil Geniuses victory!"
"announcer_ti7_ann_team_victory_04"	"EG voittaa!"
"[english]announcer_ti7_ann_team_victory_04"	"EG victory!"
"announcer_ti7_ann_team_victory_05"	"Team Liquid voittaa!"
"[english]announcer_ti7_ann_team_victory_05"	"Team Liquid victory!"
"announcer_ti7_ann_team_victory_06"	"Invictus Gaming voittaa!"
"[english]announcer_ti7_ann_team_victory_06"	"Invictus Gaming victory!"
"announcer_ti7_ann_team_victory_07"	"Newbee voittaa!"
"[english]announcer_ti7_ann_team_victory_07"	"Newbee victory!"
"announcer_ti7_ann_team_victory_08"	"Team Secret voittaa!"
"[english]announcer_ti7_ann_team_victory_08"	"Team Secret victory!"
"announcer_ti7_ann_team_victory_09"	"HellRaisers voittaa!"
"[english]announcer_ti7_ann_team_victory_09"	"HellRaisers victory!"
"announcer_ti7_ann_team_victory_10"	"Team Empire voittaa!"
"[english]announcer_ti7_ann_team_victory_10"	"Team Empire victory!"
"announcer_ti7_ann_team_victory_11"	"iG Vitality voittaa!"
"[english]announcer_ti7_ann_team_victory_11"	"iG Vitality victory!"
"announcer_ti7_ann_team_victory_13"	"LFY voittaa!"
"[english]announcer_ti7_ann_team_victory_13"	"LFY victory!"
"announcer_ti7_ann_team_victory_15"	"LGD voittaa!"
"[english]announcer_ti7_ann_team_victory_15"	"LGD victory!"
"announcer_ti7_ann_team_victory_17"	"TNC voittaa!"
"[english]announcer_ti7_ann_team_victory_17"	"TNC victory!"
"announcer_ti7_ann_team_victory_18"	"Fnatic voittaa!"
"[english]announcer_ti7_ann_team_victory_18"	"Fnatic victory!"
"announcer_ti7_ann_team_victory_19"	"Execration voittaa!"
"[english]announcer_ti7_ann_team_victory_19"	"Execration victory!"
"announcer_ti7_ann_team_victory_20"	"Cloud9 voittaa!"
"[english]announcer_ti7_ann_team_victory_20"	"Cloud9 victory"
"announcer_ti7_ann_team_victory_22"	"Digital Chaos voittaa!"
"[english]announcer_ti7_ann_team_victory_22"	"Digital Chaos victory!"
"announcer_ti7_ann_team_victory_24"	"Infamous voittaa!"
"[english]announcer_ti7_ann_team_victory_24"	"Infamous victory!"
"announcer_ti7_ann_teamnames_01"	"OG"
"[english]announcer_ti7_ann_teamnames_01"	"OG"
"announcer_ti7_ann_teamnames_02"	"Virtus Pro"
"[english]announcer_ti7_ann_teamnames_02"	"Virtus Pro"
"announcer_ti7_ann_teamnames_04"	"Evil Geniuses"
"[english]announcer_ti7_ann_teamnames_04"	"Evil Geniuses"
"announcer_ti7_ann_teamnames_05"	"EG"
"[english]announcer_ti7_ann_teamnames_05"	"EG"
"announcer_ti7_ann_teamnames_06"	"Team Liquid"
"[english]announcer_ti7_ann_teamnames_06"	"Team Liquid"
"announcer_ti7_ann_teamnames_07"	"Invictus Gaming"
"[english]announcer_ti7_ann_teamnames_07"	"Invictus Gaming"
"announcer_ti7_ann_teamnames_08"	"IG"
"[english]announcer_ti7_ann_teamnames_08"	"IG"
"announcer_ti7_ann_teamnames_09"	"Newbee"
"[english]announcer_ti7_ann_teamnames_09"	"Newbee"
"announcer_ti7_ann_teamnames_10"	"Team Secret"
"[english]announcer_ti7_ann_teamnames_10"	"Team Secret"
"announcer_ti7_ann_teamnames_12"	"HellRaisers"
"[english]announcer_ti7_ann_teamnames_12"	"HellRaisers"
